Date,Open,High,Low,Close,Volume,Daily Return (%),Trading Range,Log Return,Volume × Price
2019-01-05 00:00:00+00:00,1.006732941,1.01611805,1.00245297,1.011010051,15428171,28%,0.01366508,0.002822999,15598035.95
2019-01-06 00:00:00+00:00,1.010750055,1.015288949,0.989169002,1.010107994,18503989,-9%,0.026119947,-0.000892632,18691027.21
2019-01-07 00:00:00+00:00,1.009508967,1.01216805,1.001628995,1.005357981,18697630,-47%,0.010539055,-0.004713572,18797811.55
2019-01-08 00:00:00+00:00,1.006054044,1.016626954,1.004016042,1.007918,23189996,25%,0.012610912,0.002543139,23373614.39
2019-01-09 00:00:00+00:00,1.00661397,1.011260986,1.000763059,1.002264023,23000567,-56%,0.010497927,-0.005625353,23052640.81
2019-01-10 00:00:00+00:00,1.002841949,1.034793019,1.001950026,1.013103962,51534670,108%,0.032842993,0.010757384,52209978.36
2019-01-11 00:00:00+00:00,1.016942024,1.017006993,1.007704973,1.014734983,25279715,16%,0.00930202,0.00160863,25652211.17
2019-01-12 00:00:00+00:00,1.014780998,1.017493963,1.007727027,1.010691047,12617410,-40%,0.009766936,-0.003993176,12752303.32
2019-01-13 00:00:00+00:00,1.010934949,1.026268005,1.008317947,1.011108994,16808894,4%,0.017950058,0.00041344,16995623.9
2019-01-14 00:00:00+00:00,1.011011958,1.016634941,0.998744011,1.007591963,25825886,-35%,0.01789093,-0.003484453,26021955.17
2019-01-15 00:00:00+00:00,1.007457972,1.017956972,1.006510019,1.012068987,26459207,44%,0.011446953,0.004433448,26778542.83
2019-01-16 00:00:00+00:00,1.01323998,1.017729044,1.007982969,1.012362957,25957206,3%,0.009746075,0.000290422,26278113.82
2019-01-17 00:00:00+00:00,1.010017991,1.044891953,1.009570003,1.03035295,41708422,178%,0.03532195,0.017614254,42974395.65
2019-01-18 00:00:00+00:00,1.02906096,1.035452008,1.009829998,1.013115048,18899249,-167%,0.02562201,-0.016871623,19147113.56
2019-01-19 00:00:00+00:00,1.009876966,1.014775991,1.002609968,1.011410952,15830400,-17%,0.012166023,-0.001683452,16011039.93
2019-01-20 00:00:00+00:00,1.012287021,1.028619051,1.010475039,1.016669035,14934092,52%,0.018144012,0.005185293,15183028.9
2019-01-21 00:00:00+00:00,1.015444994,1.02276504,1.006685972,1.012547016,12277261,-41%,0.016079068,-0.004062677,12431303.99
2019-01-22 00:00:00+00:00,1.013007998,1.016688943,1.006482005,1.008540988,18848807,-40%,0.010206938,-0.003964234,19009794.43
2019-01-23 00:00:00+00:00,1.008716941,1.013386011,1.006289005,1.008734941,14686835,2%,0.007097006,0.000192292,14815123.64
2019-01-24 00:00:00+00:00,1.009251952,1.013039947,1.006649017,1.010270953,19309437,15%,0.00639093,0.001521553,19507763.32
2019-01-25 00:00:00+00:00,1.010969043,1.013592958,1.008942962,1.012050033,16078526,18%,0.004649996,0.001759444,16272272.77
2019-01-26 00:00:00+00:00,1.01197505,1.015329957,1.006314993,1.012475967,12311593,4%,0.009014964,0.000420774,12465192.03
